labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:500, scores: [1.0, 1.0, 1.0, 0.981651376146789, 1.0, 1.0, 1.0, 0.9953809388855457]
file_idx:501, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:502, scores: [0.9930555555555556, 0.986013986013986, 0.9647887323943662, 0.9361702127659575, 0.9930555555555556, 0.9895285072531598, 0.9813983383007313, 0.9697525169616266]
file_idx:503, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:504, scores: [0.8013166170073468, 0.7958291493050503, 0.7902670221782327, 0.7735775930568888, 0.8013166170073468, 0.79856816968682, 0.7959001336507541, 0.7901789080252344]
file_idx:505, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:506, scores: [0.8541666666666666, 0.8391608391608392, 0.823943661971831, 0.7801418439716312, 0.8541666666666666, 0.8466305078268894, 0.8404737693737768, 0.8238814590747989]
file_idx:507, scores: [0.9856115107913669, 0.9710144927536232, 0.9416058394160584, 0.8970588235294118, 0.9856115107913669, 0.9782857768582814, 0.9662382045448319, 0.9482118665787808]
file_idx:508, scores: [0.9882352941176471, 0.9761904761904762, 0.9397590361445783, 0.9024390243902439, 0.9882352941176471, 0.9821944218702024, 0.9681569651118744, 0.9510587073638681]
file_idx:509, scores: [0.9865771812080537, 0.972972972972973, 0.9591836734693877, 0.9383561643835616, 0.9865771812080537, 0.979751464947767, 0.9731148384624531, 0.9641072152577832]
file_idx:510, scores: [0.9666666666666667, 0.9325842696629213, 0.8977272727272727, 0.8620689655172413, 0.9666666666666667, 0.9494725521787473, 0.9325584290248898, 0.913929750231161]
file_idx:511, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:512, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:513, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:514, scores: [0.9861111111111112, 0.972027972027972, 0.9577464788732394, 0.9148936170212766, 0.9861111111111112, 0.9790442193933753, 0.9721699864627762, 0.9573184835195]
file_idx:515, scores: [0.9776119402985075, 0.9548872180451128, 0.9318181818181818, 0.9083969465648855, 0.9776119402985075, 0.9661827704939303, 0.9550330915253294, 0.9428255775361237]
file_idx:516, scores: [0.8403380133217103, 0.8328373046771028, 0.8102001339431487, 0.7568833923245355, 0.8403380133217103, 0.8365792526907205, 0.8278899522331321, 0.8093919236408624]
file_idx:517, scores: [0.9811320754716981, 0.9615384615384616, 0.9411764705882353, 0.92, 0.9811320754716981, 0.9712858623572642, 0.9615248542048856, 0.9506885335787997]
file_idx:518, scores: [0.9925373134328358, 0.9849624060150376, 0.9621212121212122, 0.916030534351145, 0.9925373134328358, 0.9887426056858819, 0.979988038259575, 0.9634441839455139]
file_idx:519, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:520, scores: [0.9932885906040269, 0.9864864864864865, 0.9795918367346939, 0.9726027397260274, 0.9932885906040269, 0.9898816958667741, 0.986574476600759, 0.9829621797516896]
file_idx:521, scores: [0.9865771812080537, 0.972972972972973, 0.9591836734693877, 0.9246575342465754, 0.9865771812080537, 0.979751464947767, 0.9731148384624531, 0.96056914745965]
file_idx:522, scores: [0.9923076923076923, 0.9844961240310077, 0.9765625, 0.937007874015748, 0.9923076923076923, 0.9883941910609739, 0.9845889014104368, 0.972357376314851]
file_idx:523, scores: [0.9925373134328358, 0.9849624060150376, 0.9772727272727273, 0.9618320610687023, 0.9925373134328358, 0.9887426056858819, 0.9850542547705979, 0.9790849648757637]
file_idx:524, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:525, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:526, scores: [0.9791666666666666, 0.958041958041958, 0.9366197183098591, 0.9148936170212766, 0.9791666666666666, 0.9685467209085736, 0.9581984576251301, 0.9468774221358591]
file_idx:527, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
