labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:500, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:501, scores: [0.9784172661870504, 0.9565217391304348, 0.9343065693430657, 0.8970588235294118, 0.9784172661870504, 0.9674075589163458, 0.9566735290317248, 0.9410925153656597]
file_idx:502, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:503, scores: [0.9912280701754386, 0.9823008849557522, 0.9732142857142857, 0.963963963963964, 0.9912280701754386, 0.9867543820659302, 0.9823964374904187, 0.9776239904176703]
file_idx:504, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:505, scores: [0.9932885906040269, 0.9864864864864865, 0.9659863945578231, 0.9452054794520548, 0.9932885906040269, 0.9898816958667741, 0.9820314738016065, 0.9725589994727682]
file_idx:506, scores: [0.976, 0.9516129032258065, 0.926829268292683, 0.8770491803278688, 0.976, 0.9637293154970368, 0.9517442469675371, 0.9321449620236693]
file_idx:507, scores: [0.9856115107913669, 0.9710144927536232, 0.9416058394160584, 0.8897058823529411, 0.9856115107913669, 0.9782857768582814, 0.9662382045448319, 0.9462628082445337]
file_idx:508, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:509, scores: [1.0, 1.0, 1.0, 0.9863013698630136, 1.0, 1.0, 1.0, 0.9965576081305293]
file_idx:510, scores: [0.9888888888888889, 0.9775280898876404, 0.9431818181818182, 0.9080459770114943, 0.9888888888888889, 0.983192080250175, 0.969968909308273, 0.9538827619376907]
file_idx:511, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:512, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:513, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:514, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:515, scores: [0.9850746268656716, 0.9699248120300752, 0.9393939393939394, 0.8854961832061069, 0.9850746268656716, 0.9774703690129348, 0.9649573879258051, 0.9441922087720626]
file_idx:516, scores: [1.0, 1.0, 1.0, 0.9694656488549618, 1.0, 1.0, 1.0, 0.9922774143939915]
file_idx:517, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:518, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:519, scores: [0.9850746268656716, 0.9699248120300752, 0.9545454545454546, 0.9389312977099237, 0.9850746268656716, 0.9774703690129348, 0.9700659466450668, 0.961965303348603]
file_idx:520, scores: [0.9932885906040269, 0.9864864864864865, 0.9659863945578231, 0.9315068493150684, 0.9932885906040269, 0.9898816958667741, 0.9820314738016065, 0.969015920553351]
file_idx:521, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:522, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:523, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:524, scores: [0.8946424059465937, 0.8625625339285713, 0.8428995278082382, 0.8294375950106944, 0.8946424059465937, 0.8784560436545743, 0.8669003318852353, 0.8570376463833264]
file_idx:525, scores: [0.8912699585057154, 0.8912699585057154, 0.878258718235559, 0.851949225042228, 0.8912699585057154, 0.8912699585057154, 0.88695507845921, 0.8780387434919354]
file_idx:526, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:527, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:528, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:529, scores: [0.9861111111111112, 0.972027972027972, 0.9436619718309859, 0.8936170212765957, 0.9861111111111112, 0.9790442193933753, 0.9674286680316436, 0.9481850977022893]
file_idx:530, scores: [0.993421052631579, 0.9867549668874173, 0.9666666666666667, 0.9463087248322147, 0.993421052631579, 0.9900823995480058, 0.9823910784918297, 0.9731125351834521]
file_idx:531, scores: [0.9856115107913669, 0.9710144927536232, 0.9562043795620438, 0.9411764705882353, 0.9856115107913669, 0.9782857768582814, 0.9711562924014858, 0.9633593507224876]
file_idx:532, scores: [0.9888888888888889, 0.9775280898876404, 0.9431818181818182, 0.896551724137931, 0.9888888888888889, 0.983192080250175, 0.969968909308273, 0.9508497099939145]
file_idx:533, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:534, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:535, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:536, scores: [0.9932885906040269, 0.9864864864864865, 0.9795918367346939, 0.9452054794520548, 0.9932885906040269, 0.9898816958667741, 0.986574476600759, 0.9759655630051344]
file_idx:537, scores: [0.9906542056074766, 0.9811320754716981, 0.9714285714285714, 0.9326923076923077, 0.9906542056074766, 0.9858816444292032, 0.9812280242315, 0.9687232145361133]
file_idx:538, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:539, scores: [0.9861111111111112, 0.972027972027972, 0.9577464788732394, 0.9290780141843972, 0.9861111111111112, 0.9790442193933753, 0.9721699864627762, 0.9610076404371352]
file_idx:540, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:541, scores: [1.0, 1.0, 0.9333333333333333, 0.7931034482758621, 1.0, 1.0, 0.9774895794479981, 0.9275592349301217]
